Strain_ID	Portal_of_entry	Collection_ID	Bioproject	Biosample	Assembly	Phylogroup	ST_Warwick	Stc_Warwick	Subgroups*	O_serogroup	H-type
H1-001-0040-G-N	Urinary	2016-7	PRJEB35745	SAMEA6377898	GCA_902707035.2	B2	131	STc131	B	O25b	H4
H1-001-0041-D-F	Digestive	2016-7	PRJEB35745	SAMEA6377899	GCA_902707045.1	A	6732	ST6732		Onovel5	H38
H1-001-0042-N-E	Digestive	2016-7	PRJEB35745	SAMEA6377900	GCA_902707075.2	B2	12	STc12		O21	H5
H1-001-0043-L-G	Digestive	2016-7	PRJEB35745	SAMEA6377901	GCA_902707055.2	B1	155	STc58		O64	H20
H1-001-0044-P-M	Digestive	2016-7	PRJEB35745	SAMEA6377902	GCA_902707095.2	A	10	STc10	C	O9	H9
H1-001-0045-L-T	Urinary	2016-7	PRJEB35745	SAMEA6377903	GCA_902707085.2	B2	131	STc131	A	O16	H5
H1-001-0046-S-T	Digestive	2016-7	PRJEB35745	SAMEA6377904	GCA_902707065.2	B1	517	STc162		O88	H25
H1-001-0047-R-C	Surgery	2016-7	PRJEB35745	SAMEA6377905	GCA_902712065.1	B1	162	STc162		O9	H9
H1-001-0048-F-M	Urinary	2016-7	PRJEB35745	SAMEA6377906	GCA_902712025.2	B2	73	STc73	D	O2	H1
H1-001-0049-M-M	Digestive	2016-7	PRJEB35745	SAMEA6377907	GCA_902711985.2	A	167	STc10	C	O101	H9
H1-001-0050-M-T	Digestive	2016-7	PRJEB35745	SAMEA6377908	GCA_902712075.2	B2	73	STc73	E	O6	H1
H1-001-0051-L-F	Digestive	2016-7	PRJEB35745	SAMEA6377909	GCA_902711975.2	A	398	STc46		O8	H20
H1-001-0052-M-M	Digestive	2016-7	PRJEB35745	SAMEA6377910	GCA_902711965.2	D	405	ST405		O2	H4
H1-001-0053-K-E	Digestive	2016-7	PRJEB35745	SAMEA6377911	GCA_902712005.2	G	117	ST117		O33	H4
H1-001-0054-A-A	Urinary	2016-7	PRJEB35745	SAMEA6377912	GCA_902711995.2	B2	569	STc420		O134	H31
H1-001-0055-L-B	Digestive	2016-7	PRJEB35745	SAMEA6377913	GCA_902712035.2	B1	1125	ST1125		O139	H19
H1-001-0056-E-J	Urinary	2016-7	PRJEB35745	SAMEA6377914	GCA_902712015.2	B2	73	STc73	D	O2	H1
H1-001-0057-V-E	Digestive	2016-7	PRJEB35745	SAMEA6377915	GCA_902712045.1	B2	131	STc131	A	O153	H5
H1-001-0058-G-M	Digestive	2016-7	PRJEB35745	SAMEA6377916	GCA_902712055.2	B2	73	STc73	F	O6	H1
H1-001-0059-M-F	Digestive	2016-7	PRJEB35745	SAMEA6377917	GCA_902712085.2	D	106	STc69	B	O17	H18
H1-001-0060-C-R	Skin	2016-7	PRJEB35745	SAMEA6377918	GCA_902707215.2	D	69	STc69	D	O45	H18
H1-001-0061-H-J	Digestive	2016-7	PRJEB35745	SAMEA6377919	GCA_902707185.2	B1	58	STc58		O9	H25
H1-001-0062-D-H	Urinary	2016-7	PRJEB35745	SAMEA6377920	GCA_902707225.2	D	38	STc38		O51	H30
H1-001-0063-G-T	Multiple	2016-7	PRJEB35745	SAMEA6377921	GCA_902707265.2	D	69	STc69	C	O15	H18
H1-001-0064-D-M	Catheter	2016-7	PRJEB35745	SAMEA6377922	GCA_902707165.2	F	62	ST62		O7	H45
H1-001-0065-A-D	Pulmonary	2016-7	PRJEB35745	SAMEA6377923	GCA_902707275.2	B2	127	STc127		O6	H31
H1-001-0066-P-C	Digestive	2016-7	PRJEB35745	SAMEA6377924	GCA_902707175.2	A	1434	ST1434		O18	H14
H1-001-0067-D-V	Digestive	2016-7	PRJEB35745	SAMEA6377925	GCA_902707255.2	A	744	STc10	C	O101	H10
H1-001-0068-C-C	Digestive	2016-7	PRJEB35745	SAMEA6377926	GCA_902707145.2	B2	1278	STc73	E	O6	H1
H1-001-0069-L-A	Digestive	2016-7	PRJEB35745	SAMEA6377927	GCA_902707295.2	B2	95	STc95	A	O1	H7
H1-001-0070-L-P	Digestive	2016-7	PRJEB35745	SAMEA6377928	GCA_902707155.2	D	69	STc69	D	O117	H4
H1-001-0071-P-L	Digestive	2016-7	PRJEB35745	SAMEA6377929	GCA_902707245.2	B1	8097	ST8097		O174	H16
H1-001-0072-N-F	Digestive	2016-7	PRJEB35745	SAMEA6377930	GCA_902707125.2	B2	140	STc95	Unassigned	O2	H5
H1-001-0073-Z-M	unknown	2016-7	PRJEB35745	SAMEA6377931	GCA_902707235.2	B2	127	STc127		O6	H31
H1-001-0074-B-K	Digestive	2016-7	PRJEB35745	SAMEA6377932	GCA_902707105.1	A	10	STc10	B	O174	H32
H1-001-0075-N-A	Digestive	2016-7	PRJEB35745	SAMEA6377933	GCA_902707205.2	A	10	STc10	B	O148	H32
H1-001-0076-M-P	Digestive	2016-7	PRJEB35745	SAMEA6377934	GCA_902707195.2	B2	131	STc131	C1	O25b	H4
H1-001-0077-B-V	Urinary	2016-7	PRJEB35745	SAMEA6377935	GCA_902707135.1	D	69	STc69	D	O117	H4
H1-001-0078-O-P	Digestive	2016-7	PRJEB35745	SAMEA6377936	GCA_902707285.1	D	69	STc69	C	O15	H6
H1-001-0079-V-O	Urinary	2016-7	PRJEB35745	SAMEA6377937	GCA_902707115.2	B2	131	STc131	C2	O25b	H4
H1-001-0080-B-A	Digestive	2016-7	PRJEB35745	SAMEA6377938	GCA_902707485.2	F	648	STc648		O153	H6
H1-001-0081-L-J	Digestive	2016-7	PRJEB35745	SAMEA6377939	GCA_902707345.2	B2	131	STc131	C2	O25b	H4
H1-001-0082-P-K	Urinary	2016-7	PRJEB35745	SAMEA6377940	GCA_902707305.2	B2	95	STc95	D	O2	H7
H1-001-0083-D-D	Urinary	2016-7	PRJEB35745	SAMEA6377941	GCA_902707335.2	B2	73	STc73	F	O6	H1
H1-001-0084-A-S	Urinary	2016-7	PRJEB35745	SAMEA6377942	GCA_902707455.2	B2	73	STc73	D	O2	H1
H1-001-0085-F-D	Digestive	2016-7	PRJEB35745	SAMEA6377943	GCA_902707445.2	B2	141	STc141		O2	H6
H1-001-0086-B-F	Digestive	2016-7	PRJEB35745	SAMEA6377944	GCA_902707415.2	D	963	STc38		O2	H18
H1-001-0087-M-C	Urinary	2016-7	PRJEB35745	SAMEA6377945	GCA_902707465.2	B2	73	STc73	E	O6	H1
H1-001-0088-K-O	Digestive	2016-7	PRJEB35745	SAMEA6377946	GCA_902707425.2	B2	73	STc73	F	O6	H1
H1-001-0089-F-A	Urinary	2016-7	PRJEB35745	SAMEA6377947	GCA_902707365.1	D	69	STc69	C	O15	H18
H1-001-0090-C-J	Digestive	2016-7	PRJEB35745	SAMEA6377948	GCA_902707405.1	B2	12	STc12		O4	H1
H1-001-0091-R-G	Digestive	2016-7	PRJEB35745	SAMEA6377949	GCA_902707475.2	A	1415	STc10	B	Onovel16	H34
H1-001-0092-L-F	Digestive	2016-7	PRJEB35745	SAMEA6377950	GCA_902707355.2	A	45	STc45		O25b	H30
H1-001-0093-R-A	Digestive	2016-7	PRJEB35745	SAMEA6377951	GCA_902707375.2	B1	155	STc58		O25b	H34
H1-001-0094-C-D	unknown	2016-7	PRJEB35745	SAMEA6377952	GCA_902707325.2	A	10	STc10	B	O12	H4
H1-001-0095-N-K	Urinary	2016-7	PRJEB35745	SAMEA6377953	GCA_902707385.2	B2	12	STc12		O4	H5
H1-001-0096-B-O	Digestive	2016-7	PRJEB35745	SAMEA6377954	GCA_902707495.2	B1	1431	STc162		O9	H10
H1-001-0097-B-F	Digestive	2016-7	PRJEB35745	SAMEA6377955	GCA_902707395.2	B1	162	STc162		O9	H9
H1-001-0098-B-K	Urinary	2016-7	PRJEB35745	SAMEA6377956	GCA_902707315.2	B2	95	STc95	E	O2	H4
H1-001-0099-L-B	Digestive	2016-7	PRJEB35745	SAMEA6377957	GCA_902707435.2	B2	131	STc131	B	O25b	H4
H1-001-0100-H-O	Urinary	2016-7	PRJEB35745	SAMEA6377958	GCA_902707515.2	D	69	STc69	C	O15	H18
H1-001-0101-D-A	Digestive	2016-7	PRJEB35745	SAMEA6377959	GCA_902707505.2	B2	95	STc95	C	O1	H7
H1-001-0102-V-J	Digestive	2016-7	PRJEB35745	SAMEA6377960	GCA_902707645.2	A	48	STc10	A	O137	H4
H1-001-0103-G-B	Digestive	2016-7	PRJEB35745	SAMEA6377961	GCA_902707695.1	A	10	STc10	B	O8	H17
H1-001-0104-J-J	Urinary	2016-7	PRJEB35745	SAMEA6377962	GCA_902707685.2	F	62	ST62		O7	H45
H1-001-0105-C-P	Digestive	2016-7	PRJEB35745	SAMEA6377963	GCA_902707595.2	A	1594	STc93		O21	H4
H1-001-0106-C-J	Catheter	2016-7	PRJEB35745	SAMEA6377964	GCA_902707525.2	B1	388	ST388		O25b	H2
H1-001-0107-L-E	Urinary	2016-7	PRJEB35745	SAMEA6377965	GCA_902707655.2	B2	131	STc131	B	O25b	H4
H1-001-0108-S-J	Urinary	2016-7	PRJEB35745	SAMEA6377966	GCA_902707565.2	A	2253	STc93		O15	H33
H1-001-0109-S-B	Digestive	2016-7	PRJEB35745	SAMEA6377967	GCA_902707555.1	D	394	ST394		O17	H18
H1-001-0110-D-F	Urinary	2016-7	PRJEB35745	SAMEA6377968	GCA_902707705.1	D	69	STc69	D	O_not_found	H2
H1-001-0111-B-J	Digestive	2016-7	PRJEB35745	SAMEA6377969	GCA_902707575.2	G	117	ST117		O143	H4
H1-001-0112-D-M	Digestive	2016-7	PRJEB35745	SAMEA6377970	GCA_902707605.2	F	415	STc59		O1	H7
H1-001-0113-J-D	Digestive	2016-7	PRJEB35745	SAMEA6377971	GCA_902707635.2	D	405	ST405		O102	H6
H1-001-0114-R-S	Digestive	2016-7	PRJEB35745	SAMEA6377972	GCA_902707545.2	B2	404	STc14		O75	H5
H1-001-0115-L-J	Digestive	2016-7	PRJEB35745	SAMEA6377973	GCA_902707535.2	D	69	STc69	D	O17	H18
H1-001-0116-H-M	Digestive	2016-7	PRJEB35745	SAMEA6377974	GCA_902707615.2	B2	131	STc131	C1	O25b	H4
H1-001-0117-D-M	Surgery	2016-7	PRJEB35745	SAMEA6377975	GCA_902707625.2	B2	569	STc420		O134	H31
H1-001-0118-F-M	Urinary	2016-7	PRJEB35745	SAMEA6377976	GCA_902707675.2	B2	73	STc73	C	O6	H1
H1-001-0119-F-Z	Urinary	2016-7	PRJEB35745	SAMEA6377977	GCA_902707715.2	B2	14	STc14		O75	H5
H1-001-0120-M-A	Digestive	2016-7	PRJEB35745	SAMEA6377978	GCA_902707665.2	A	1434	ST1434		O18	H14
H1-001-0121-Q-J	Digestive	2016-7	PRJEB35745	SAMEA6377979	GCA_902707585.2	C	23	STc88		O8	H30
H1-001-0122-S-J	Digestive	2016-7	PRJEB35745	SAMEA6377980	GCA_902707795.2	B2	73	STc73	E	O6	H1
H1-001-0123-M-L	Digestive	2016-7	PRJEB35745	SAMEA6377981	GCA_902707865.2	D	69	STc69	D	O15	H1
H1-001-0124-C-A	Digestive	2016-7	PRJEB35745	SAMEA6377982	GCA_902707745.2	A	10	STc10	C	O101	H9
H1-001-0125-B-M	Digestive	2016-7	PRJEB35745	SAMEA6377983	GCA_902707885.2	B1	58	STc58		O49	H9
H1-001-0126-S-B	Digestive	2016-7	PRJEB35745	SAMEA6377984	GCA_902707785.2	D	69	STc69	C	O15	H6
H1-001-0127-P-J	Urinary	2016-7	PRJEB35745	SAMEA6377985	GCA_902707825.2	B1	642	ST642		O105	H4
H1-001-0128-B-A	Urinary	2016-7	PRJEB35745	SAMEA6377986	GCA_902707875.2	B2	73	STc73	C	O6	H1
H1-001-0129-R-J	Urinary	2016-7	PRJEB35745	SAMEA6377987	GCA_902707765.2	A	409	ST409		O7	H38
H1-001-0130-N-D	Digestive	2016-7	PRJEB35745	SAMEA6377988	GCA_902707895.2	B1	7093	ST7093		O8	H16
H1-001-0131-C-A	Digestive	2016-7	PRJEB35745	SAMEA6377989	GCA_902707835.2	C	88	STc88		O86	H25
H1-001-0132-J-F	Urinary	2016-7	PRJEB35745	SAMEA6377990	GCA_902707855.2	D	69	STc69	D	O153	H2
H1-001-0133-V-M	Multiple	2016-7	PRJEB35745	SAMEA6377991	GCA_902707805.2	B2	569	STc420		O134 O46	H31
H1-001-0134-C-D	Catheter	2016-7	PRJEB35745	SAMEA6377992	GCA_902707725.2	D	69	STc69	C	O15	H18
H1-001-0135-L-E	Urinary	2016-7	PRJEB35745	SAMEA6377993	GCA_902707735.2	B2	95	STc95	D	O45	H7
H1-001-0136-C-S	Digestive	2016-7	PRJEB35745	SAMEA6377994	GCA_902707755.2	D	38	STc38		O153	H14
H1-001-0137-D-L	Digestive	2016-7	PRJEB35745	SAMEA6377995	GCA_902707845.2	D	69	STc69	C	O17	H18
H1-001-0138-N-F	Urinary	2016-7	PRJEB35745	SAMEA6377996	GCA_902707775.2	B2	95	STc95	D	O2	H4
H1-001-0139-M-B	Digestive	2016-7	PRJEB35745	SAMEA6377997	GCA_902707815.1	B1	3580	STc162		O109	H7
H1-001-0140-M-O	Urinary	2016-7	PRJEB35745	SAMEA6377998	GCA_902707905.1	B2	73	STc73	F	O6	H1
H1-001-0141-G-Y	Urinary	2016-7	PRJEB35745	SAMEA6377999	GCA_902707915.2	B2	131	STc131	C2	O25b	H4
H1-001-0142-L-C	Urinary	2016-7	PRJEB35745	SAMEA6378000	GCA_902707945.2	B2	5242	STc73	F	O6	H1
H1-001-0143-B-M	Urinary	2016-7	PRJEB35745	SAMEA6378001	GCA_902707955.2	D	69	STc69	C	O17	H18
H1-001-0145-J-P	Pulmonary	2016-7	PRJEB35745	SAMEA6378002	GCA_902707965.2	E	57	ST57		O119	H10
H1-001-0146-V-D	Digestive	2016-7	PRJEB35745	SAMEA6378003	GCA_902707935.2	F	1674	ST1674		O11	H25
H1-001-0147-D-A	Digestive	2016-7	PRJEB35745	SAMEA6378004	GCA_902707975.1	D	405	ST405		O102	H6
H1-001-0148-Y-J	Digestive	2016-7	PRJEB35745	SAMEA6378005	GCA_902707925.2	B2	141	STc141		O2	H6
H1-001-0149-B-A	Urinary	2016-7	PRJEB35745	SAMEA6378006	GCA_902708045.2	D	405	ST405		O102	H6
H1-001-0150-D-P	Catheter	2016-7	PRJEB35745	SAMEA6378007	GCA_902708005.1	D	69	STc69	C	O15	H18
H1-001-0151-L-P	Urinary	2016-7	PRJEB35745	SAMEA6378008	GCA_902708025.2	B2	131	STc131	C2	O25b	H4
H1-001-0152-D-D	Urinary	2016-7	PRJEB35745	SAMEA6378009	GCA_902708035.2	D	69	STc69	C	O17	H18
H1-001-0153-G-B	Urinary	2016-7	PRJEB35745	SAMEA6378010	GCA_902708015.2	B1	58	STc58		O9	H25
H1-001-0154-T-K	Catheter	2016-7	PRJEB35745	SAMEA6378011	GCA_902707995.2	C	410	STc88		O8	H9
H1-001-0155-M-I	Digestive	2016-7	PRJEB35745	SAMEA6378012	GCA_902707985.2	G	117	ST117		O114	H4
H1-001-0156-V-R	Digestive	2016-7	PRJEB35745	SAMEA6378013	GCA_902708155.2	B1	8099	STc58		O9	H17
H1-001-0157-P-A	Urinary	2016-7	PRJEB35745	SAMEA6378014	GCA_902708125.2	B2	73	STc73	F	O18	H1
H1-002-0001-M-C	Urinary	2016-7	PRJEB35745	SAMEA6378015	GCA_902708075.2	B2	131	STc131	C2	O25b	H4
H1-002-0002-B-M	Urinary	2016-7	PRJEB35745	SAMEA6378016	GCA_902708105.2	B2	12	STc12		O4	H1
H1-002-0003-L-L	Urinary	2016-7	PRJEB35745	SAMEA6378017	GCA_902708165.2	F	59	STc59		O1	H7
H1-002-0004-T-A	Urinary	2016-7	PRJEB35745	SAMEA6378018	GCA_902708065.2	B2	131	STc131	C2	O25b	H4
H1-002-0005-B-J	Urinary	2016-7	PRJEB35745	SAMEA6378019	GCA_902708115.2	B2	95	STc95	A	O1	H7
H1-002-0006-F-J	unknown	2016-7	PRJEB35745	SAMEA6378020	GCA_902708175.2	D	69	STc69	C	O15	H1
H1-002-0007-M-M	Urinary	2016-7	PRJEB35745	SAMEA6378021	GCA_902708135.2	C	23	STc88		O78	H10
H1-002-0008-D-F	Urinary	2016-7	PRJEB35745	SAMEA6378022	GCA_902708095.2	B2	12	STc12		O4	H1
H1-002-0009-P-A	Digestive	2016-7	PRJEB35745	SAMEA6378023	GCA_902708215.2	D	69	STc69	D	O17	H18
H1-002-0010-M-M	Urinary	2016-7	PRJEB35745	SAMEA6378024	GCA_902708085.2	B1	162	STc162		O9	H9
H1-002-0011-M-G	Urinary	2016-7	PRJEB35745	SAMEA6378025	GCA_902708205.2	C	23	STc88		O8	H9
H1-002-0012-T-C	Digestive	2016-7	PRJEB35745	SAMEA6378026	GCA_902708185.2	D	393	STc393		O15	H1
H1-002-0013-G-S	Digestive	2016-7	PRJEB35745	SAMEA6378027	GCA_902708195.2	D	69	STc69	D	O25b	H18
H1-002-0014-K-M	Urinary	2016-7	PRJEB35745	SAMEA6378028	GCA_902708145.2	B2	131	STc131	A	O16	H5
H1-002-0015-B-R	Multiple	2016-7	PRJEB35745	SAMEA6378029	GCA_902708055.2	A	450	STc10	A	O45	H16
H1-002-0016-H-R	Catheter	2016-7	PRJEB35745	SAMEA6378030	GCA_902708255.2	B2	1193	STc14		O75	H5
H1-002-0017-S-I	unknown	2016-7	PRJEB35745	SAMEA6378031	GCA_902708265.2	B2	131	STc131	A	O16	H5
H1-002-0018-N-A	Digestive	2016-7	PRJEB35745	SAMEA6378032	GCA_902708235.2	B1	8102	ST8102		O9	H25
H1-002-0019-P-P	Urinary	2016-7	PRJEB35745	SAMEA6378033	GCA_902708225.2	D	69	STc69	D	O15	H18
H1-002-0020-C-L	Digestive	2016-7	PRJEB35745	SAMEA6378034	GCA_902708245.2	B2	131	STc131	C1	O25b	H4
H1-002-0021-O-L	Urinary	2016-7	PRJEB35745	SAMEA6378035	GCA_902708275.2	D	8116	STc69	D	O17	H18
H1-002-0022-N-F	Urinary	2016-7	PRJEB35745	SAMEA6378036	GCA_902708285.2	B2	73	STc73	B	O22	H1
H1-002-0023-C-A	Pulmonary	2016-7	PRJEB35745	SAMEA6378037	GCA_902708315.2	D	69	STc69	C	O45	H16
H1-002-0024-V-G	Digestive	2016-7	PRJEB35745	SAMEA6378038	GCA_902708305.2	B2	83	ST83		O83	H5
H1-002-0025-C-P	Urinary	2016-7	PRJEB35745	SAMEA6378039	GCA_902708295.2	D	69	STc69	D	O15	H18
H1-002-0026-M-N	Urinary	2016-7	PRJEB35745	SAMEA6378040	GCA_902708395.2	B2	131	STc131	C2	O25b	H4
H1-002-0027-A-K	Urinary	2016-7	PRJEB35745	SAMEA6378041	GCA_902708425.2	B2	127	STc127		O6	H31
H1-002-0028-B-G	Digestive	2016-7	PRJEB35745	SAMEA6378042	GCA_902708445.2	B2	131	STc131	A	O16	H5
H1-002-0029-A-E	Digestive	2016-7	PRJEB35745	SAMEA6378043	GCA_902708325.2	D	69	STc69	D	O15	H1
H1-002-0030-T-Y	Urinary	2016-7	PRJEB35745	SAMEA6378044	GCA_902708375.2	B2	681	ST681		O8	H5
H1-002-0031-C-S	unknown	2016-7	PRJEB35745	SAMEA6378045	GCA_902708405.2	B2	141	STc141		O2	H6
H1-002-0032-S-C	Digestive	2016-7	PRJEB35745	SAMEA6378046	GCA_902708415.2	A	10	STc10	B	O12	H4
H1-002-0033-S-R	Multiple	2016-7	PRJEB35745	SAMEA6378047	GCA_902708385.2	B2	73	STc73	C	O6	H1
H1-002-0034-C-Z	Urinary	2016-7	PRJEB35745	SAMEA6378048	GCA_902708345.2	B2	12	STc12		O4	H1
H1-002-0035-L-C	Digestive	2016-7	PRJEB35745	SAMEA6378049	GCA_902708365.2	B2	144	ST144		O16	H6
H1-002-0036-S-N	Urinary	2016-7	PRJEB35745	SAMEA6378050	GCA_902708435.2	B2	12	STc12		O4	H1
H1-002-0037-M-F	Urinary	2016-7	PRJEB35745	SAMEA6378051	GCA_902708355.2	B2	95	STc95	D	O1	H7
H1-002-0038-D-O	Digestive	2016-7	PRJEB35745	SAMEA6378052	GCA_902708335.2	A	398	STc46		O133	H20
H1-002-0039-R-E	Urinary	2016-7	PRJEB35745	SAMEA6378053	GCA_902708485.2	B2	131	STc131	A	O16	H5
H1-002-0040-D-F	Urinary	2016-7	PRJEB35745	SAMEA6378054	GCA_902708535.2	B2	131	STc131	C2	O25b	H4
H1-002-0041-E-M	Pulmonary	2016-7	PRJEB35745	SAMEA6378055	GCA_902708515.2	B2	131	STc131	A	O16	H5
H1-002-0042-T-M	Urinary	2016-7	PRJEB35745	SAMEA6378056	GCA_902708525.2	B2	131	STc131	B	O25b	H4
H1-002-0043-S-L	Digestive	2016-7	PRJEB35745	SAMEA6378057	GCA_902708555.2	B2	131	STc131	A	O153	H5
H1-002-0044-L-P	Digestive	2016-7	PRJEB35745	SAMEA6378058	GCA_902708545.2	B2	95	STc95	B	O18	H7
H1-002-0045-V-M	Urinary	2016-7	PRJEB35745	SAMEA6378059	GCA_902708505.2	D	69	STc69	D	O17	H18
H1-002-0046-C-E	Catheter	2016-7	PRJEB35745	SAMEA6378060	GCA_902708455.2	A	8100	STc10	B	O48	H32
H1-002-0047-P-M	Pulmonary	2016-7	PRJEB35745	SAMEA6378061	GCA_902708495.2	B1	453	STc453		O23	H16
H1-002-0048-T-C	Multiple	2016-7	PRJEB35745	SAMEA6378062	GCA_902708475.2	B2	73	STc73	B	O22	H1
H1-002-0049-D-R	Urinary	2016-7	PRJEB35745	SAMEA6378063	GCA_902708465.2	B2	131	STc131	C2	O25b	H4
H1-002-0050-L-G	Urinary	2016-7	PRJEB35745	SAMEA6378064	GCA_902708575.2	B2	127	STc127		O6	H31
H1-002-0051-D-S	Digestive	2016-7	PRJEB35745	SAMEA6378065	GCA_902708595.2	B1	58	STc58		O30	H25
H1-002-0052-P-C	Urinary	2016-7	PRJEB35745	SAMEA6378066	GCA_902708565.2	B2	1604	STc14		O75	H5
H1-002-0053-D-K	Urinary	2016-7	PRJEB35745	SAMEA6378067	GCA_902708625.2	B2	131	STc131	A	O16	H5
H1-002-0054-V-A	Digestive	2016-7	PRJEB35745	SAMEA6378068	GCA_902708605.2	B2	73	STc73	F	O6	H1
H1-002-0055-L-M	Urinary	2016-7	PRJEB35745	SAMEA6378069	GCA_902708615.2	D	69	STc69	C	O15	H18
H1-002-0056-B-L	Urinary	2016-7	PRJEB35745	SAMEA6378070	GCA_902708585.2	D	69	STc69	D	O17	H18
