Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR972067,7/29/2015 2:41,1/19/2016 20:43,2466527,493305400,2466527,200,254,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972067/ERR972067.1,ERX1049044,13712420,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682833,SAMEA3304008,simple,573,Klebsiella pneumoniae,SAMEA3304008,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,B682039DCA8EF232BDF9461EDE4FF31C,FA2A20009E8628B24ECD81A537D87DFC
ERR972068,7/29/2015 2:41,1/19/2016 20:42,2319038,463807600,2319038,200,243,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972068/ERR972068.1,ERX1049045,13712432,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682834,SAMEA3304009,simple,573,Klebsiella pneumoniae,SAMEA3304009,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,CCE0FF9143965767ACF4A01135F0AED7,FB6E9214DF9FC38DCDE5BF1B3E67ACB1
ERR972069,7/29/2015 2:41,1/19/2016 20:46,2368735,473747000,2368735,200,249,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972069/ERR972069.1,ERX1049046,13712444,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682835,SAMEA3304010,simple,573,Klebsiella pneumoniae,SAMEA3304010,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,54E11D6B542FAA098C093794EFA025D3,A70D00285A807505D15106AC7A4557E1
ERR972070,7/29/2015 2:41,1/19/2016 20:43,2431850,486370000,2431850,200,252,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972070/ERR972070.1,ERX1049047,13712456,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682836,SAMEA3304011,simple,573,Klebsiella pneumoniae,SAMEA3304011,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,8BAEE1D6165D7162E0D1DBC1E32908B2,0CDED07EE497D6B272A23CC45C4A852A
ERR972071,7/29/2015 2:41,1/19/2016 20:44,2508901,501780200,2508901,200,263,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972071/ERR972071.1,ERX1049048,13712468,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682837,SAMEA3304012,simple,573,Klebsiella pneumoniae,SAMEA3304012,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,3512E5DD4D3ECCF99E28B94F57D46942,365EE4DA8B07DFB29368F7AECE79FD5E
ERR972072,7/29/2015 2:41,1/19/2016 20:47,2725514,545102800,2725514,200,284,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972072/ERR972072.1,ERX1049049,13712480,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682838,SAMEA3304013,simple,573,Klebsiella pneumoniae,SAMEA3304013,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,86A9A67391A8CCC72616D4C9168ECDEE,E3052CDF86F139DCA324B7AEC1DD82E8
ERR972073,7/29/2015 2:41,1/19/2016 20:44,2401293,480258600,2401293,200,268,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972073/ERR972073.1,ERX1049050,13712492,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682839,SAMEA3304014,simple,573,Klebsiella pneumoniae,SAMEA3304014,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,AB3F654077C211C468CB4E36D2FDC00D,2715BAADB9A2651B812D946FDC5A94F5
ERR972074,7/29/2015 2:41,1/19/2016 20:44,2339304,467860800,2339304,200,277,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972074/ERR972074.1,ERX1049051,13712504,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682840,SAMEA3304015,simple,573,Klebsiella pneumoniae,SAMEA3304015,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,18061DFA8A39FAA65E7C87604A849EC8,91E3C96D418E57E0294C2A7ACD1D78BB
ERR972075,7/29/2015 2:41,1/19/2016 20:44,1977518,395503600,1977518,200,203,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972075/ERR972075.1,ERX1049052,13712421,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682841,SAMEA3304016,simple,573,Klebsiella pneumoniae,SAMEA3304016,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,DE4C2E12DB514860A73E9945ABFB9B0A,F2B3CBA28755CF47E94732665BDEBEEC
ERR972076,7/29/2015 2:41,1/19/2016 20:42,2284454,456890800,2284454,200,253,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972076/ERR972076.1,ERX1049053,13712433,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682842,SAMEA3304017,simple,573,Klebsiella pneumoniae,SAMEA3304017,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,2413CC75A54D008982AEC3CD8DFCA3B4,E9FB55A43DC9CB1C7561A9216223682F
ERR972077,7/29/2015 2:41,1/19/2016 20:44,2417438,483487600,2417438,200,269,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972077/ERR972077.1,ERX1049054,13712445,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682843,SAMEA3304018,simple,573,Klebsiella pneumoniae,SAMEA3304018,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,4715C51E62A097EE0D1A9F69B0E03173,8963DB3C831DD102B4BCDC5FAA32B6CB
ERR972078,7/29/2015 2:41,1/19/2016 20:44,2596614,519322800,2596614,200,303,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972078/ERR972078.1,ERX1049055,13712457,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682844,SAMEA3304019,simple,2026240,Klebsiella quasivariicola,SAMEA3304019,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,35F5439DE3466C752D25D7C9D8D54A49,B2E638F3D275376AE2B7EFA0285FB6C3
ERR972079,7/29/2015 2:41,1/19/2016 20:46,2471432,494286400,2471432,200,285,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972079/ERR972079.1,ERX1049056,13712469,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682845,SAMEA3304020,simple,244366,Klebsiella variicola,SAMEA3304020,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,C60EBC8BD90C73990F0CE61787A95817,F290C484A8EADEEF3A42F9E90FA0A012
ERR972080,7/29/2015 2:41,1/19/2016 20:44,2364603,472920600,2364603,200,279,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972080/ERR972080.1,ERX1049057,13712481,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682846,SAMEA3304021,simple,1463165,Klebsiella quasipneumoniae,SAMEA3304021,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,9B975C6A0AA05D9180261A897DA9BA14,4F32472578C8E79E250952F70D5BAB37
ERR1216256,1/20/2016 5:43,2/27/2016 18:19,5389305,1347326250,5389305,250,366,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216256/ERR1216256.1,ERX1288469,15112223,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838713,SAMEA3531564,simple,1463165,Klebsiella quasipneumoniae,SAMEA3531564,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,5DA54800DFE3950721DEB61FC9850D0F,2E397F48D06FF72647737C8FD24E1380
ERR1216257,1/20/2016 5:43,2/27/2016 18:19,7010271,1752567750,7010271,250,528,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216257/ERR1216257.1,ERX1288470,15112235,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838714,SAMEA3531565,simple,1463165,Klebsiella quasipneumoniae,SAMEA3531565,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,514C87C79C87B0D0D0A898B04723FD6B,ABACCBE57B58316F6AC62BDDFFC525FE
ERR1216258,1/20/2016 5:43,2/27/2016 18:19,5659655,1414913750,5659655,250,385,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216258/ERR1216258.1,ERX1288471,15112247,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838715,SAMEA3531566,simple,573,Klebsiella pneumoniae,SAMEA3531566,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,F0EF88B3A967BEBBDCF86D3DC08DE3C8,31CEF4FBFDE192309B9051A5A304AF1D
ERR1216259,1/20/2016 5:43,2/27/2016 18:19,5764053,1441013250,5764053,250,409,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216259/ERR1216259.1,ERX1288472,15112259,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838716,SAMEA3531567,simple,1463165,Klebsiella quasipneumoniae,SAMEA3531567,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,45F1F4644B3E767050B3049F3F8D6267,31AE24DAABA48D952098788B3352490C
ERR1216260,1/20/2016 5:43,2/27/2016 18:20,6540610,1635152500,6540610,250,481,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216260/ERR1216260.1,ERX1288473,15112176,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838717,SAMEA3531568,simple,573,Klebsiella pneumoniae,SAMEA3531568,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,4F94CC05C397B7D862C99D3D3786BA81,8AA3E0E642557B79435C2848DC2EBB4C
ERR1216261,1/20/2016 5:43,2/27/2016 18:21,7296366,1824091500,7296366,250,534,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216261/ERR1216261.1,ERX1288474,15112188,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838718,SAMEA3531569,simple,573,Klebsiella pneumoniae,SAMEA3531569,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,08C36DEDF2FD9EC3D839928A97FA37B6,D9B4B49D36D2A73FAC992B4C3489BFC1
ERR1216262,1/20/2016 5:43,2/27/2016 18:20,6082586,1520646500,6082586,250,387,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216262/ERR1216262.1,ERX1288475,15112200,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838719,SAMEA3531570,simple,244366,Klebsiella variicola,SAMEA3531570,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,A8EDF258B3B93601B87889CA902AE8BD,E8A9946AAF7CA31D3F446009682B5EA9
ERR1216263,1/20/2016 5:43,2/27/2016 18:19,5619884,1404971000,5619884,250,418,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216263/ERR1216263.1,ERX1288476,15112212,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838720,SAMEA3531571,simple,573,Klebsiella pneumoniae,SAMEA3531571,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,F950B6FE8AF055AA34021CCF2535C3CA,A66AA434A7BD3C3DFF9CE60E40E947A1
ERR1216264,1/20/2016 5:43,2/27/2016 18:19,6003029,1500757250,6003029,250,351,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216264/ERR1216264.1,ERX1288477,15112224,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838721,SAMEA3531572,simple,573,Klebsiella pneumoniae,SAMEA3531572,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,209BAC51A87319F43585019969F73FD4,FDDA3F0CD944E2D3CE2A6A8941B630D4
ERR1216265,1/20/2016 5:43,2/27/2016 18:19,6075254,1518813500,6075254,250,349,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216265/ERR1216265.1,ERX1288478,15112236,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838722,SAMEA3531573,simple,573,Klebsiella pneumoniae,SAMEA3531573,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,990BCB31B03E961942CD3703C9D5EA35,4AC536CE033651D0EF0C32C61825732B
ERR1216266,1/20/2016 5:43,2/27/2016 18:19,5798591,1449647750,5798591,250,338,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1216266/ERR1216266.1,ERX1288479,15112248,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS838723,SAMEA3531574,simple,573,Klebsiella pneumoniae,SAMEA3531574,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA553510,,public,D12660E6EA2F30DB211A4A1CF350C09F,C45E91B3978E2399F4B78E6AB394B6B4
